date,solver,objective,opt_gap_%,revenue,shipping,penalty,fill_rate,diverts,feasible_sample_%,runtime_s,precision,recall,f1
2024-06-17,Baseline 1: Default DC,118064.9777419355,87.98658947704723,152015.0,770.0,33180.02225806451,0.0861983059292476,0,100.0,0.0075316390002626,0.0,0.0,0.0
2024-06-17,Baseline 2: Greedy Sequential (>=5% or 100 cases),980969.8577419356,0.1838323515762818,992440.0,7339.0,4131.142258064517,0.8879635561249911,4,100.0,0.0073772679998,1.0,0.8,0.888888888888889
2024-06-17,"QAOA (layers=1, CVaR=0.2)",982776.5189274192,0.0,994461.0,7603.0,4081.4810725806456,0.889849811374475,5,28.592122395833336,22.175310384999648,1.0,1.0,1.0
2024-06-17,"MILP (7-constraint PoC, CBC)",980969.8577419356,0.1838323515762818,992440.0,7339.0,4131.142258064517,0.8879635561249911,4,100.0,1.26829151200036,1.0,0.8,0.888888888888889
2024-06-19,Baseline 1: Default DC,118188.48052407516,87.97551567453952,152015.0,770.0,33056.51947592484,0.0861983059292476,0,100.0,0.0046154969995768,0.0,0.0,0.0
2024-06-19,Baseline 2: Greedy Sequential (>=5% or 100 cases),981093.3605240752,0.183658482418873,992440.0,7339.0,4007.639475924839,0.8879635561249911,4,100.0,0.0040184960007536,1.0,0.8,0.888888888888889
2024-06-19,"QAOA (layers=1, CVaR=0.2)",982898.5370609586,0.0,994461.0,7603.0,3959.4629390413975,0.889849811374475,5,23.92578125,15.760947217000648,1.0,1.0,1.0
2024-06-19,"MILP (7-constraint PoC, CBC)",981093.3605240752,0.183658482418873,992440.0,7339.0,4007.639475924839,0.8879635561249911,4,100.0,0.8317765550000331,1.0,0.8,0.888888888888889
2024-06-21,Baseline 1: Default DC,118302.33445895264,87.96530946544065,152015.0,770.0,32942.66554104737,0.0861983059292476,0,100.0,0.0043766380003944,0.0,0.0,0.0
2024-06-21,Baseline 2: Greedy Sequential (>=5% or 100 cases),981207.2144589528,0.1834982352973177,992440.0,7339.0,3893.785541047369,0.8879635561249911,4,100.0,0.0040031730004557,1.0,0.8,0.888888888888889
2024-06-21,"QAOA (layers=1, CVaR=0.2)",983011.0223377204,0.0,994461.0,7603.0,3846.977662279484,0.889849811374475,5,28.470052083333336,16.05444634699961,1.0,1.0,1.0
2024-06-21,"MILP (7-constraint PoC, CBC)",981207.2144589528,0.1834982352973177,992440.0,7339.0,3893.785541047369,0.8879635561249911,4,100.0,1.0603864949998751,1.0,0.8,0.888888888888889
2024-06-23,Baseline 1: Default DC,118244.005745205,87.97053793493205,152015.0,770.0,33000.994254795005,0.0861983059292476,0,100.0,0.0039724840007693,0.0,0.0,0.0
2024-06-23,Baseline 2: Greedy Sequential (>=5% or 100 cases),981148.885745205,0.1835803272060806,992440.0,7339.0,3952.114254795004,0.8879635561249911,4,100.0,0.0035986620005132,1.0,0.8,0.888888888888889
2024-06-23,"QAOA (layers=1, CVaR=0.2)",982953.3948036688,0.0,994461.0,7603.0,3904.605196331165,0.889849811374475,5,30.5529364224138,15.598252891999437,1.0,1.0,1.0
2024-06-23,"MILP (7-constraint PoC, CBC)",981148.885745205,0.1835803272060806,992440.0,7339.0,3952.114254795004,0.8879635561249911,4,100.0,0.8795705519996773,1.0,0.8,0.888888888888889
2024-06-25,Baseline 1: Default DC,436523.3961904762,23.834990968168054,441677.2261904762,3576.0,1577.83,0.6290745384089355,0,100.0,0.008519963000253483,0.0,0.0,0.0
2024-06-25,Baseline 2: Greedy Sequential (>=5% or 100 cases),555652.1958403361,3.04928697047511,566559.4758403362,10049.0,858.28,0.8832915431958058,3,100.0,0.0077856560001237085,0.4,0.4,0.4000000000000001
2024-06-25,"QAOA (layers=1, CVaR=0.2)",573128.5294117647,0.0,588236.5294117647,15108.0,0.0,0.8910987007066332,5,48.093894675925924,14.24104838400035,1.0,1.0,1.0
2024-06-25,"MILP (7-constraint PoC, CBC)",549146.5558403361,4.184397101299889,557939.4758403362,7443.0,1349.92,0.8729769774333257,2,100.0,0.8927552659997673,0.2,0.2,0.20000000000000004
