date,seed,solver,objective,opt_gap_%,precision,recall,f1,runtime_s
2024-06-17,1,QAOA,982776.5189274192,0.0,1.0,1.0,1.0,28.964694761999908
2024-06-17,1,MILP,980969.8577419356,0.1838323515762818,1.0,0.8,0.888888888888889,1.8677679190000165
2024-06-17,7,QAOA,982776.5189274192,0.0,1.0,1.0,1.0,30.441428427999654
2024-06-17,7,MILP,980969.8577419356,0.1838323515762818,1.0,0.8,0.888888888888889,1.8677679190000165
2024-06-17,13,QAOA,982776.5189274192,0.0,1.0,1.0,1.0,30.10949755599995
2024-06-17,13,MILP,980969.8577419356,0.1838323515762818,1.0,0.8,0.888888888888889,1.8677679190000165
2024-06-17,42,QAOA,982776.5189274192,0.0,1.0,1.0,1.0,30.08163981300004
2024-06-17,42,MILP,980969.8577419356,0.1838323515762818,1.0,0.8,0.888888888888889,1.8677679190000165
2024-06-17,101,QAOA,982776.5189274192,0.0,1.0,1.0,1.0,29.675571230999594
2024-06-17,101,MILP,980969.8577419356,0.1838323515762818,1.0,0.8,0.888888888888889,1.8677679190000165
2024-06-19,1,QAOA,982898.5370609586,0.0,1.0,1.0,1.0,31.48599647300034
2024-06-19,1,MILP,981093.3605240752,0.1836584824188729,1.0,0.8,0.888888888888889,0.8317765550000331
2024-06-19,7,QAOA,982898.5370609586,0.0,1.0,1.0,1.0,30.237538149000105
2024-06-19,7,MILP,981093.3605240752,0.1836584824188729,1.0,0.8,0.888888888888889,0.8317765550000331
2024-06-19,13,QAOA,981093.3605240752,0.1836584824188729,1.0,0.8,0.888888888888889,30.91992724100055
2024-06-19,13,MILP,981093.3605240752,0.1836584824188729,1.0,0.8,0.888888888888889,0.8317765550000331
2024-06-19,42,QAOA,982898.5370609586,0.0,1.0,1.0,1.0,30.270939984000503
2024-06-19,42,MILP,981093.3605240752,0.1836584824188729,1.0,0.8,0.888888888888889,0.8317765550000331
2024-06-19,101,QAOA,982898.5370609586,0.0,1.0,1.0,1.0,29.215844544999527
2024-06-19,101,MILP,981093.3605240752,0.1836584824188729,1.0,0.8,0.888888888888889,0.8317765550000331
2024-06-21,1,QAOA,983011.0223377204,0.0,1.0,1.0,1.0,29.15019740200023
2024-06-21,1,MILP,981207.2144589528,0.1834982352973177,1.0,0.8,0.888888888888889,1.0603864949998751
2024-06-21,7,QAOA,983011.0223377204,0.0,1.0,1.0,1.0,29.148508530000072
2024-06-21,7,MILP,981207.2144589528,0.1834982352973177,1.0,0.8,0.888888888888889,1.0603864949998751
2024-06-21,13,QAOA,981207.2144589528,0.1834982352973177,1.0,0.8,0.888888888888889,30.06850035200023
2024-06-21,13,MILP,981207.2144589528,0.1834982352973177,1.0,0.8,0.888888888888889,1.0603864949998751
2024-06-21,42,QAOA,983011.0223377204,0.0,1.0,1.0,1.0,30.09581118900041
2024-06-21,42,MILP,981207.2144589528,0.1834982352973177,1.0,0.8,0.888888888888889,1.0603864949998751
2024-06-21,101,QAOA,983011.0223377204,0.0,1.0,1.0,1.0,30.206692501999896
2024-06-21,101,MILP,981207.2144589528,0.1834982352973177,1.0,0.8,0.888888888888889,1.0603864949998751
2024-06-23,1,QAOA,982953.3948036688,0.0,1.0,1.0,1.0,30.45485805499993
2024-06-23,1,MILP,981148.885745205,0.1835803272060806,1.0,0.8,0.888888888888889,0.8795705519996773
2024-06-23,7,QAOA,982953.3948036688,0.0,1.0,1.0,1.0,30.366153984000448
2024-06-23,7,MILP,981148.885745205,0.1835803272060806,1.0,0.8,0.888888888888889,0.8795705519996773
2024-06-23,13,QAOA,982953.3948036688,0.0,1.0,1.0,1.0,30.300310745000388
2024-06-23,13,MILP,981148.885745205,0.1835803272060806,1.0,0.8,0.888888888888889,0.8795705519996773
2024-06-23,42,QAOA,982953.3948036688,0.0,1.0,1.0,1.0,30.010075402999973
2024-06-23,42,MILP,981148.885745205,0.1835803272060806,1.0,0.8,0.888888888888889,0.8795705519996773
2024-06-23,101,QAOA,982953.3948036688,0.0,1.0,1.0,1.0,28.67762347999997
2024-06-23,101,MILP,981148.885745205,0.1835803272060806,1.0,0.8,0.888888888888889,0.8795705519996773
2024-06-25,1,QAOA,573128.5294117647,0.0,1.0,1.0,1.0,30.41394901500007
2024-06-25,1,MILP,549146.5558403361,4.184397101299889,0.2,0.2,0.20000000000000004,0.8927552659997673
2024-06-25,7,QAOA,573128.5294117647,0.0,1.0,1.0,1.0,30.265341633999924
2024-06-25,7,MILP,549146.5558403361,4.184397101299889,0.2,0.2,0.20000000000000004,0.8927552659997673
2024-06-25,13,QAOA,573128.5294117647,0.0,1.0,1.0,1.0,30.842671763999533
2024-06-25,13,MILP,549146.5558403361,4.184397101299889,0.2,0.2,0.20000000000000004,0.8927552659997673
2024-06-25,42,QAOA,573128.5294117647,0.0,1.0,1.0,1.0,29.540058415000203
2024-06-25,42,MILP,549146.5558403361,4.184397101299889,0.2,0.2,0.20000000000000004,0.8927552659997673
2024-06-25,101,QAOA,573128.5294117647,0.0,1.0,1.0,1.0,28.26759505100017
2024-06-25,101,MILP,549146.5558403361,4.184397101299889,0.2,0.2,0.20000000000000004,0.8927552659997673
